code,title,observed,n_studies,estimate,posterior_std
13,Business & Financial,0.003252793335436666,4.0,0.0033,0.0047
15,Computer & Math,0.10165040528573137,1.0,0.1024,0.0478
17,Architecture & Engineering,,,0.3905,1.0176
19,Life; Physical; Social Science,,,0.3942,1.0215
21,Community & Social Service,,,0.3213,1.0987
23,Legal,0.30701549803641615,2.0,0.3097,0.1795
25,Education,,,0.3175,1.1444
27,Arts; Design; Media,0.14282137790441232,1.0,0.143,0.0365
29,Healthcare Practitioners,,,0.3658,1.1039
31,Healthcare Support,,,0.3234,1.1632
33,Protective Service,,,0.3435,1.0634
35,Food Prep & Serving,,,0.3018,1.1133
39,Personal Care & Service,,,0.3087,1.1333
41,Sales,0.5802411227104969,1.0,0.566,0.2392
43,Office & Admin Support,0.033835583753123226,1.0,0.034,0.023
